data,variable,ae,np
2021-03-24,prec,0.2,3.78
2021-03-25,tmed,25.0125,26.54
2021-03-25,ur,67.6666666666667,73.88
2021-03-25,tmin,20.1,20.34
2021-03-25,tmax,32.6,33.97
2021-03-25,prec,0,4.85
2021-03-26,tmed,24.05,24.55
2021-03-26,ur,78.4583333333333,84.38
2021-03-26,tmin,20.9,21.41
2021-03-26,tmax,28.8,28.97
2021-03-26,prec,6.8,14.76
2021-03-27,tmed,21.25,24.71
2021-03-27,ur,89.5,81
2021-03-27,tmin,19.4,20.4
2021-03-27,tmax,23.4,30.34
2021-03-27,prec,7.8,5.28
2021-03-28,tmed,21.4958333333333,21.79
2021-03-28,ur,86.5,85.5
2021-03-28,tmin,20,18.94
2021-03-28,tmax,25.2,26.47
2021-03-28,prec,5,4.79
2021-03-29,tmed,19.6041666666667,19.19
2021-03-29,ur,90.375,84.5
2021-03-29,tmin,18.3,14.37
2021-03-29,tmax,21.2,23.11
2021-03-29,prec,0.6,4.02
2021-03-30,tmed,17.1708333333333,18.48
2021-03-30,ur,82.9583333333333,81.81
2021-03-30,tmin,12.5,12.9
2021-03-30,tmax,21.6,24.76
2021-03-30,prec,0,0.43
2021-03-31,tmed,17.5375,18.37
2021-03-31,ur,75.2083333333333,75.81
2021-03-31,tmin,13.9,13.4
2021-03-31,tmax,22.9,24.66
2021-03-31,prec,0,0.12
2021-04-01,tmed,17.3958333333333,18.38
2021-04-01,ur,71.125,73.5
2021-04-01,tmin,11.7,11.55
2021-04-01,tmax,24,25.58
2021-04-01,prec,0,0.12
2021-04-02,tmed,19.5,20.05
2021-04-02,ur,67.75,70.88
2021-04-02,tmin,14.8,13.72
2021-04-02,tmax,26.4,27.43
2021-04-02,prec,0,0.08
2021-04-03,tmed,20.7875,21.37
2021-04-03,ur,66.3333333333333,69.31
2021-04-03,tmin,15.6,14.17
2021-04-03,tmax,28.8,29.1
2021-04-03,prec,0,0.03
2021-04-04,tmed,21.4958333333333,22.72
2021-04-04,ur,68.25,64.12
2021-04-04,tmin,16.6,16.17
2021-04-04,tmax,28.7,29.96
2021-04-04,prec,0,0.03
2021-04-05,tmed,21.6833333333333,22.68
2021-04-05,ur,65.9166666666667,66.12
2021-04-05,tmin,18.7,18.56
2021-04-05,tmax,26.6,27.8
2021-04-05,prec,0,0.01
2021-04-06,tmed,21.5416666666667,22.71
2021-04-06,ur,70.9583333333333,66.62
2021-04-06,tmin,18.2,18.17
2021-04-06,tmax,27.4,30.01
2021-04-06,prec,0,0.01
2021-04-07,tmed,21.5375,22.9
2021-04-07,ur,68.9166666666667,63.81
2021-04-07,tmin,17,15.87
2021-04-07,tmax,27.9,30.69
2021-04-07,prec,0,0.02
2021-04-08,tmed,23.025,24.05
2021-04-08,ur,62.625,61.56
2021-04-08,tmin,18.2,17.25
2021-04-08,tmax,29.5,32.19
2021-04-08,prec,0,0.01
2021-04-09,tmed,24.6125,25.58
2021-04-09,ur,62.1666666666667,62.75
2021-04-09,tmin,20.1,18.33
2021-04-09,tmax,30.9,33.87
2021-04-09,prec,0,0
2021-04-10,tmed,24.1083333333333,25.59
2021-04-10,ur,64.875,58.62
2021-04-10,tmin,19.3,18.94
2021-04-10,tmax,30.7,34.3
2021-04-10,prec,0,0.01
2021-04-11,tmed,21.975,24.64
2021-04-11,ur,71.125,61.81
2021-04-11,tmin,17.3,16.45
2021-04-11,tmax,29.8,34.53
2021-04-11,prec,4.6,1.71
2021-04-12,tmed,18.6416666666667,20.49
2021-04-12,ur,79.125,62.12
2021-04-12,tmin,14.8,15.23
2021-04-12,tmax,23.4,28.99
2021-04-12,prec,0.4,0.06
2021-04-13,tmed,18.9958333333333,21.08
2021-04-13,ur,70.8333333333333,62.88
2021-04-13,tmin,13.4,12.86
2021-04-13,tmax,26.9,29.46
2021-04-13,prec,0,0.08
2021-04-14,tmed,18.9791666666667,23.24
2021-04-14,ur,83.25,66.81
2021-04-14,tmin,17.9,17.01
2021-04-14,tmax,20.1,30.54
2021-04-14,prec,2.6,0.14
2021-04-15,tmed,18.8791666666667,22.18
2021-04-15,ur,83.4166666666667,65.62
2021-04-15,tmin,17.5,17.7
2021-04-15,tmax,21.8,28.9
2021-04-15,prec,6.6,3.54
2021-04-16,tmed,18.4125,21.15
2021-04-16,ur,92.375,71.75
2021-04-16,tmin,16.5,16.9
2021-04-16,tmax,20.2,27.81
2021-04-16,prec,0.8,2.07
2021-04-17,tmed,20.1583333333333,21.23
2021-04-17,ur,81.7083333333333,75.31
2021-04-17,tmin,17.2,16.72
2021-04-17,tmax,24.9,27.67
2021-04-17,prec,0,1.44
2021-04-18,tmed,20.225,21.55
2021-04-18,ur,73.75,70.31
2021-04-18,tmin,16.2,16.01
2021-04-18,tmax,25.5,29.16
2021-04-18,prec,0,0.04
2021-04-19,tmed,20.6166666666667,21.37
2021-04-19,ur,71.625,62.81
2021-04-19,tmin,16.4,15.26
2021-04-19,tmax,26.2,29.83
2021-04-19,prec,0,0.01
2021-04-20,tmed,20.0958333333333,21.37
2021-04-20,ur,67.0833333333333,63
2021-04-20,tmin,15.4,15.4
2021-04-20,tmax,26.3,29.45
2021-04-20,prec,0,0.07
2021-04-21,tmed,19.7333333333333,21.34
2021-04-21,ur,62.375,62.62
2021-04-21,tmin,15.6,14.56
2021-04-21,tmax,26.1,29.65
2021-04-21,prec,0,0.07
2021-04-22,tmed,19.675,21.38
2021-04-22,ur,66.0416666666667,61.69
2021-04-22,tmin,16,15.12
2021-04-22,tmax,25.8,29.36
2021-04-22,prec,0,0.04
2021-04-23,tmed,20.1416666666667,21.4
2021-04-23,ur,61.9166666666667,60.44
2021-04-23,tmin,15.9,14.31
2021-04-23,tmax,26.1,28.16
2021-04-23,prec,0,0.04
2021-04-24,tmed,18.3791666666667,20.9
2021-04-24,ur,79.5833333333333,74.5
2021-04-24,tmin,16,16.8
2021-04-24,tmax,21.9,27.56
2021-04-24,prec,3.8,0.67
2021-04-25,tmed,17.8125,19.83
2021-04-25,ur,83.1666666666667,72.75
2021-04-25,tmin,16,14.77
2021-04-25,tmax,22,26.1
2021-04-25,prec,0,0.13
2021-04-26,tmed,15.6458333333333,16.33
2021-04-26,ur,68.2083333333333,66.94
2021-04-26,tmin,11.3,11.06
2021-04-26,tmax,20.9,23.94
2021-04-26,prec,0,0.01
2021-04-27,tmed,14.9458333333333,15.66
2021-04-27,ur,66.6666666666667,64.31
2021-04-27,tmin,9.9,8.98
2021-04-27,tmax,21.3,24.62
2021-04-27,prec,0,0.01
2021-04-28,tmed,14.85,15.48
2021-04-28,ur,56.4583333333333,56.5
2021-04-28,tmin,9.7,7.62
2021-04-28,tmax,22,25.68
2021-04-28,prec,0,0.02
2021-04-29,tmed,15.4708333333333,16.66
2021-04-29,ur,62.4166666666667,55.81
2021-04-29,tmin,10.3,8.34
2021-04-29,tmax,23,27.33
2021-04-29,prec,0,0.04
2021-04-30,tmed,17.1458333333333,18.19
2021-04-30,ur,60.8333333333333,55.62
2021-04-30,tmin,12.6,11.2
2021-04-30,tmax,24,27.52
2021-04-30,prec,0,0.05
2021-05-01,tmed,18.925,19.98
2021-05-01,ur,61.75,60.06
2021-05-01,tmin,14.8,12.19
